canonical_brand,FIX_IF_WRONG,product_count,variants_merged,example_product,needs_review
Kdd,,32,,KDD Iced Mocha Coffee with Chocolate Milk 250 ml,
Mentos,,32,,Mentos Pure Fresh Sugarfree Chewing Gum Watermelon 50 Pieces 87.5 g,
Extra,,20,,Extra Refreshers Spearmint – 15.6 g,
Lusine,,18,,Lusine Chocolate Sandwich 105 g,
Chupa Chups,,18,,Chupa Chups Bites Sour Fruit Flavour Gummy Candy 85g,
Qbake,,17,,Qbake Milk Bread 350Gm,
Topsy,,17,,Topsy Cheese Popcorn 18 g,
Halabi,,16,,HALABI Pistachios 250g,
Rani,,15,,Rani Carrot Orange Juice 1.4L,
Pringles,,15,,Pringles Paprika – 165 g,
Kitco,,14,,KITCO Nice Chips Lightly Salted 80g,
Batatos,,12,,Batatos Salt 167g,
Red Bull,,11,,Red Bull Sugarfree 250ml,
Rita,,11,,Rita Blue Sparkling Drink 275ml,
Barbican,,10,,Barbican Pineapple Flavour 330ml,
Almarai,,9,,Almarai Mixed Berry Nectar 1.4L,
Haribo,,9,,Haribo Chamallows Rubino Strawberry Marshmallow 70 g,
Karkish,,9,,Karkish Hot Chilli 40g,
Mexita,,9,,Mexita Hot Chilli & Lime Tortilla Chips 180g,
Yupi,,8,,Yupi Gummi Pizza,
Al Batal,,8,,Al Batal Ketchup Flavour 110g,
Molto,,8,,Molto Chips Ketchup Flavour 70 g,
Coca-Cola,,8,,Coca-Cola Zero Calories 1.25L,
Kinza,,8,,Kinza Lemon Zero Sugar 250ml,
Cadbury,,7,,Cadbury Dairy Milk Oreo 95g,
Mirinda,,7,,Mirinda Orange 2.25L,
Moussy,,7,,Moussy Ice Berry Flavour 330ml,
Baladna,,6,,Baladna Apple Nectar Refreshing Delight 200ml,
Freez,,6,,Freez Mix Pineapple & Coconut Carbonated Drink 275ml,
Kinder,,6,,Kinder Bueno Chocolate Bar 43 g,
Oreo,,6,,Oreo Original Sandwich Biscuits 36.8 g,
Sour,,6,,Sour Whacky Squeeze Candy 70g,
Nestlé,,6,,Nestlé Tola Crispy Wafer with Caramel & Milk Chocolate,
Camel,,5,,Camel Mixed Snacks (36 g),
Skittles,,5,,Skittles Gummies Fruits 60g,
Schogetten,,5,,Schogetten White Chocolate 100g,
Twix,,5,,Twix Miniatures 150g,
Chilli,,5,,Chilli Out Fire Fingers Spicy Chicken 60 g,
Balaji,,5,,Balaji Chataka Pataka Spicy Rice & Corn Snacks 75g,
Pepsi,,5,,Pepsi 2.25L,
Mountain Dew,,5,,Mountain Dew 150ml,
Mr.,,4,,Mr. Brown Iced Coffee 240 ml,
Bliss,,4,,Bliss Veggie Straws Original 27 g,
Takis,,4,,Takis Fuego Hot Chili Pepper & Lime Tortilla Chips,
Chocolate,,4,,Chocolate Cream Oreo – 36.8 g,
Fruties,,4,,Fruties Chew Tape Strawberry 12 g,
Chips,,4,,Chips Oman Chilli Flavour Potato Chips – 137 g,
Frit-C,,4,,Frit-C Extreme Z Strawberry 20g,
Suroor,,4,,Suroor Natural Potato Chips Salt & Vinegar 14 g,
Rubiyan,,4,,Rubiyan Corn Stick Spicy Cheese Flavour 18g,
Barakat,,4,,Barakat Juice Pop Mango Passion 50ml,
Dairy,,4,,Dairy Fruity Spiral 5g,
