guess_brand,BRAND_CONFIRM,Title,Type,Status,Handle
7Up,,7Up 150ml,Carbonated Soft Drinks,active,7up-150ml
7Up,,7Up 330ml,Carbonated Soft Drinks,active,7up-330ml
7UP,,7UP Lemon & Lime Bubbly 2.25L,Carbonated Soft Drinks,active,7up-lemon-lime-bubbly-2-25l
7UP,,7UP Lemon & Lime Taste 1.25L,Carbonated Soft Drinks,active,7up-lemon-lime-taste-1-25l
7UP,,7UP Refreshing Lemon 150ml,Carbonated Soft Drinks,active,7up-refreshing-lemon-150ml
ABC,,ABC Cheese 12 g,Chips & Crisps,active,abc-cheese-12-g
ABC,,ABC Ketchup 12 g,Chips & Crisps,active,abc-ketchup-12-g
ABC,,ABC Salt & Vinegar Chips 80g,Chips & Crisps,active,abc-salt-vinegar-chips-80g
Airlist,,Airlist Fruit Chews – 32 g,Gums,active,airlist-fruit-chews-32-g
Airlist,,Airlist Mint Chews – 32 g,Gums,active,airlist-mint-chews-32-g
Airwaves,,Airwaves Chewing Gum 14g,Gums,active,airwaves-chewing-gum-14g
Airwaves,,Airwaves Chewing Gum 40 pcs,Gums,active,airwaves-chewing-gum-40-pcs
Airwaves,,Airwaves Chewing Gum 46 pcs,Gums,active,airwaves-chewing-gum-46-pcs
Al Batal,,Al Batal Cheese Flavour 110g,Chips & Crisps,active,al-batal-cheese-flavour-110g
Al Batal,,Al Batal Ketchup Flavour 110g,Chips & Crisps,active,al-batal-ketchup-flavour-110g
Al Batal,,Al Batal Popcorn Chilli Flavour 14g,Chips & Crisps,active,al-batal-popcorn-chilli-flavour-14g
Al Batal,,Al Batal Potato Chips Cheese Flavour 12g,Chips & Crisps,active,al-batal-potato-chips-cheese-flavour-12g
Al Batal,,Al Batal Potato Chips Ketchup Flavour 12g,Chips & Crisps,active,al-batal-potato-chips-ketchup-flavour-12g
Al Batal,,Al Batal Potato Chips Salt Flavour 12g,Chips & Crisps,active,al-batal-potato-chips-salt-flavour-12g
Al Batal,,Al Batal Salt & Vinegar Flavour 110g,Chips & Crisps,active,al-batal-salt-vinegar-flavour-110g
Al Batal,,Al Batal Salt & Vinegar Potato Chips 12g,Chips & Crisps,active,al-batal-salt-vinegar-potato-chips-12g
Al Moudhish,,Al Moudhish Potato Chips 75g,Chips & Crisps,active,al-moudhish-potato-chips-75g
Al Moudhish,,Al Moudhish Potato Chips Ready Salted 75g,Chips & Crisps,active,al-moudhish-potato-chips-ready-salted-75g
Al Mudhish,,Al Mudhish Natural Potato Sticks 75g,Chips & Crisps,active,al-mudhish-natural-potato-sticks-75g
Al Mudhish,,Al Mudhish Potato Chips 15g,Chips & Crisps,active,al-mudhish-potato-chips-15g
Al Mudhish,,Al Mudhish Potato Chips Ready Salted 15g,Chips & Crisps,active,al-mudhish-potato-chips-ready-salted-15g
Al Mudhish,,Al Mudhish Potato Chips Ripples Crunch Sour Cream & Onion Flavour 15 g,Chips & Crisps,active,al-mudhish-potato-chips-ripples-crunch-sour-cream-onion-flavour-15-g
Al Mudhish,,Al Mudhish Potato Chips Ripples Sour Cream & Onion 15g,Chips & Crisps,active,al-mudhish-potato-chips-ripples-sour-cream-onion-15g
AL Mudhish,,AL MUDHISH Potato Chips Salt & Vinegar 15g,Chips & Crisps,active,al-mudhish-potato-chips-salt-vinegar-15g
AL Mudhish,,AL MUDHISH Potato Chips Salted 15g,Chips & Crisps,active,al-mudhish-potato-chips-salted-15g
Al Mudhish,,Al Mudhish Potato Rings – Salsa Flavour 15 g,Chips & Crisps,active,al-mudhish-potato-rings-salsa-flavour-15-g
Al Mudhish,,Al Mudhish Potato Ripples Crunch Sour Cream & Onion Flavour 75g,Chips & Crisps,active,al-mudhish-potato-ripples-crunch-sour-cream-onion-flavour-75g
AL Mudhish,,AL MUDHISH Potato Ripples Crunchy Cheese 15g,Chips & Crisps,active,al-mudhish-potato-ripples-crunchy-cheese-15g
AL Mudhish,,AL MUDHISH Potato Ripples Crunchy Chilli 15g,Chips & Crisps,active,al-mudhish-potato-ripples-crunchy-chilli-15g
