Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Beverage product form (product.metafields.shopify.beverage-product-form),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary supplements (product.metafields.shopify.dietary-supplements),Flavor (product.metafields.shopify.flavor),Package type (product.metafields.shopify.package-type),Soda variety (product.metafields.shopify.soda-variety),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
test-product-qar-1,Test Product - QAR 1,<p>Internal testing product. Not for customer purchase.</p>,Ayira Mini Mart,,Testing,"internal, test",false,Title,Default,,,,,,,,TEST-001,0.0,shopify,0,deny,manual,1.00,,true,true,,,,,,,,,false,,,,,,,,,,kg,,,draft
dandy-stack-up-ice-cream-80ml,Dandy Stack Up Ice Cream 80ml,"",Ayira Mini Mart,,Ice Cream,Ice Cream,false,Title,Default Title,,,,,,,,AYR-0982,0.0,,0,continue,manual,1.50,,true,true,,,,,,,,,false,,,,,,,,,,kg,,,draft
dandy-choco-bar-ice-cream-60ml,Dandy Choco Bar Ice Cream 60ml,"",Ayira Mini Mart,,Ice Cream,Ice Cream,false,Title,Default Title,,,,,,,,AYR-0981,0.0,,0,continue,manual,2.00,,true,true,,,,,,,,,false,,,,,,,,,,kg,,,draft
dandy-choco-nuts-ice-cream-85ml,Dandy Choco Nuts Ice Cream 85ml,"",Ayira Mini Mart,,Ice Cream,Ice Cream,false,Title,Default Title,,,,,,,,AYR-0980,0.0,,0,continue,manual,3.00,,true,true,,,,,,,,,false,,,,,,,,,,kg,,,draft
toblerone-ice-cream-65g,Toblerone Ice Cream 65g,"",Ayira Mini Mart,,Ice Cream,Ice Cream,false,Title,Default Title,,,,,,,,AYR-0979,0.0,,0,continue,manual,9.50,,true,true,,,,,,,,,false,,,,,,,,,,kg,,,draft
oazis-ice-cream,Oazis Ice Cream,"",Ayira Mini Mart,,Ice Cream,Ice Cream,false,Title,Default Title,,,,,,,,AYR-0978,0.0,,0,continue,manual,3.50,,true,true,,,,,,,,,false,,,,,,,,,,kg,,,draft
dandy-peanut-delight-ice-cream-100ml-2,DANDY Peanut Delight Ice Cream 100ml,"",Ayira Mini Mart,,Ice Cream,Ice Cream,false,Title,Default Title,,,,,,,,AYR-0977,0.0,,0,continue,manual,3.50,,true,true,,,,,,,,,false,,,,,,,,,,kg,,,draft
rani-carrot-orange-juice-1-4l,Rani Carrot Orange Juice 1.4L,"",Ayira Mini Mart,,Juices & Fruit Drinks,Juices & Fruit Drinks,false,Title,Default Title,,,,,,,,AYR-0976,0.0,,0,continue,manual,5.50,,true,true,,,,,,,,,false,,,,,,,,,,kg,,,draft
rani-pomegranate-juice-1-4l,Rani Pomegranate Juice 1.4L,"",Ayira Mini Mart,,Juices & Fruit Drinks,Juices & Fruit Drinks,false,Title,Default Title,,,,,,,,AYR-0975,0.0,,0,continue,manual,5.50,,true,true,,,,,,,,,false,,,,,,,,,,kg,,,draft
rani-peach-juice-1-4l,Rani Peach Juice 1.4L,"",Ayira Mini Mart,,Juices & Fruit Drinks,Juices & Fruit Drinks,false,Title,Default Title,,,,,,,,AYR-0974,0.0,,0,continue,manual,5.50,,true,true,,,,,,,,,false,,,,,,,,,,kg,,,draft
