Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Beverage product form (product.metafields.shopify.beverage-product-form),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary supplements (product.metafields.shopify.dietary-supplements),Flavor (product.metafields.shopify.flavor),Package type (product.metafields.shopify.package-type),Soda variety (product.metafields.shopify.soda-variety),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
perrier-natural-sparkling-water-200ml,Perrier Natural Sparkling Water 200ml,,Perrier,,Water,"Sparkling, Single",true,Title,Default Title,,,,,,,,AYR-0086,0.0,,0,continue,manual,5.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0819/7885/1544/files/f-oco5-perrier_20200_20ml.jpg?v=1781343332,1,Perrier Natural Sparkling Water 200ml,false,,,,,,,,,,kg,,,active
rayyan-40-years-together-250ml,Rayyan 40 Years Together 250ml,,Rayyan,,Water,"Still, Single",true,Title,Default Title,,,,,,,,AYR-0085,0.0,,-1,continue,manual,4.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0819/7885/1544/files/00-76b-rayyan_2040_20years_20together_20250_20ml.jpg?v=1781343331,1,Rayyan 40 Years Together 250ml,false,,,,,,,,,,kg,,,active
evervess-club-soda-330ml,Evervess Club Soda 330ml,,Evervess,,Water,"Sparkling, Single",true,Title,Default Title,,,,,,,,AYR-0081,0.0,,0,continue,manual,2.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0819/7885/1544/files/siu7jk-evervess_20club_20soda_20330_20ml.png?v=1781343328,1,Evervess Club Soda 330ml,false,,,,,,,,,,kg,,,active
arwa-water-12pcs,Arwa Water 12pcs,,Arwa,,Water,"Still, Multipack",true,Title,Default Title,,,,,,,,AYR-0027,0.0,,0,continue,manual,9.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0819/7885/1544/files/5fltvp-arwa_20water.png?v=1781343285,1,Arwa Water 12pcs,false,,,,,,,,,,kg,,,active
rayyan-alkaline-mineral-water-1-5l-x-6,Rayyan Alkaline Mineral Water 1.5L x 6,,Rayyan,,Water,"Still, Multipack",true,Title,Default Title,,,,,,,,AYR-0026,0.0,,0,continue,manual,9.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0819/7885/1544/files/mrs9sz-rayyan_20alkaline_20mineral_20water_201.5l_20x_206.png?v=1781343284,1,Rayyan Alkaline Mineral Water 1.5L x 6,false,,,,,,,,,,kg,,,active
rayyan-natural-water-330ml-x-12,Rayyan Natural Water 330ml x 12,,Rayyan,,Water,"Still, Multipack",true,Title,Default Title,,,,,,,,AYR-0025,0.0,,0,continue,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0819/7885/1544/files/22hm6w-rayyan_20natural_20water_20330ml_20x_2012.png?v=1781343284,1,Rayyan Natural Water 330ml x 12,false,,,,,,,,,,kg,,,active
rayyan-mineral-water-200ml-x-30,Rayyan Mineral Water 200ml x 30,,Rayyan,,Water,"Still, Multipack",true,Title,Default Title,,,,,,,,AYR-0024,0.0,,0,continue,manual,14.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0819/7885/1544/files/rven3m-rayyan_20mineral_20water_20200ml_20x_2030.png?v=1781343282,1,Rayyan Mineral Water 200ml x 30,false,,,,,,,,,,kg,,,active
rayyan-mineral-water-330ml-x-30,Rayyan Mineral Water 330ml x 30,,Rayyan,,Water,"Still, Multipack",true,Title,Default Title,,,,,,,,AYR-0023,0.0,,0,continue,manual,15.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0819/7885/1544/files/70c2d6-rayyan_20mineral_20water_20330ml_20x_2030.png?v=1781343282,1,Rayyan Mineral Water 330ml x 30,false,,,,,,,,,,kg,,,active
amwaj-mineral-water-330ml-x-30,Amwaj Mineral Water 330ml x 30,,Amwaj,,Water,"Still, Multipack",true,Title,Default Title,,,,,,,,AYR-0022,0.0,,0,continue,manual,12.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0819/7885/1544/files/38l454-amajwaj.png?v=1781343281,1,Amwaj Mineral Water 330ml x 30,false,,,,,,,,,,kg,,,active
amwaj-mineral-water-1-5l-x-6,Amwaj Mineral Water 1.5L x 6,,Amwaj,,Water,"Still, Multipack",true,Title,Default Title,,,,,,,,AYR-0021,0.0,,0,continue,manual,12.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0819/7885/1544/files/d2y0fi-amwaj_20mineral_20water_20330ml_20x_20300.png?v=1781343281,1,Amwaj Mineral Water 1.5L x 6,false,,,,,,,,,,kg,,,active
